state_class,magnitude_quantizer,bits_per_magnitude,bits_per_phase,k,sample_idx,fidelity,compression_ratio
mps_chi2,percentile,2,2,,3,0.841864846769776,11.361997226074896
mps_chi2,lloyd,3,3,,3,0.94911136631543,8.752136752136753
mps_chi2,topk,3,3,8.0,3,0.9546727476447819,8.402051282051282
mps_chi2,log,3,3,,3,0.9310769059724232,8.752136752136753
mps_chi2,percentile,3,3,,3,0.9556548569513271,8.261187444850624
mps_chi2,lloyd,4,4,,3,0.9819577041954737,6.69281045751634
mps_chi2,topk,4,4,8.0,3,0.9864608610349501,6.491283676703645
mps_chi2,log,4,4,,3,0.9709630156911687,6.69281045751634
mps_chi2,percentile,4,4,,3,0.9868172243085208,6.408761979268531
mps_chi2,lloyd,2,2,,4,0.8402002370214514,12.337349397590362
mps_chi2,topk,2,2,8.0,4,0.8458194701038563,11.636363636363637
mps_chi2,log,2,2,,4,0.8042801168353513,12.337349397590362
mps_chi2,percentile,2,2,,4,0.8479850448929883,11.361997226074896
mps_chi2,lloyd,3,3,,4,0.9512796074901746,8.752136752136753
mps_chi2,topk,3,3,8.0,4,0.9530510165813473,8.402051282051282
mps_chi2,log,3,3,,4,0.9363349322214247,8.752136752136753
mps_chi2,percentile,3,3,,4,0.9529569778379013,8.261187444850624
mps_chi2,lloyd,4,4,,4,0.9861621621540447,6.69281045751634
mps_chi2,topk,4,4,8.0,4,0.9875964510406468,6.491283676703645
mps_chi2,log,4,4,,4,0.9807725710140317,6.69281045751634
mps_chi2,percentile,4,4,,4,0.9872894067512121,6.408761979268531
mps_chi2,lloyd,2,2,,5,0.8302711702219546,12.337349397590362
mps_chi2,topk,2,2,8.0,5,0.8355491292721718,11.636363636363637
mps_chi2,log,2,2,,5,0.7692393735175628,12.337349397590362
mps_chi2,percentile,2,2,,5,0.8361866069629631,11.361997226074896
mps_chi2,lloyd,3,3,,5,0.9517608474984561,8.752136752136753
mps_chi2,topk,3,3,8.0,5,0.9554963437128701,8.402051282051282
mps_chi2,log,3,3,,5,0.9360215631245449,8.752136752136753
mps_chi2,percentile,3,3,,5,0.9559057182538594,8.261187444850624
mps_chi2,lloyd,4,4,,5,0.9831923595579071,6.69281045751634
mps_chi2,topk,4,4,8.0,5,0.9869010876362887,6.491283676703645
mps_chi2,log,4,4,,5,0.9773949662697733,6.69281045751634
mps_chi2,percentile,4,4,,5,0.9875314457310161,6.408761979268531
mps_chi2,lloyd,2,2,,6,0.8189619114485805,12.337349397590362
mps_chi2,topk,2,2,8.0,6,0.8275752644394989,11.636363636363637
mps_chi2,log,2,2,,6,0.7964335546956853,12.337349397590362
