state_class,config,bits_per_magnitude,bits_per_phase,sample_idx,fidelity,compression_ratio
tfim,wht_mag_phase,4,4,4,0.7574529108600178,7.529411764705882
tfim,full,4,4,4,0.8078838018653096,6.69281045751634
tfim,wht,2,2,5,1.0,1.0
tfim,wht_mag,2,2,5,0.745633396214022,1.8754578754578755
tfim,wht_mag_phase,2,2,5,0.745633396214022,15.515151515151516
tfim,full,2,2,5,0.7770038326326044,12.337349397590362
tfim,wht,3,3,5,1.0,1.0
tfim,wht_mag,3,3,5,0.7569578275994135,1.8156028368794326
tfim,wht_mag_phase,3,3,5,0.7569578275994135,10.24
tfim,full,3,3,5,0.8127259906696982,8.752136752136753
tfim,wht,4,4,5,1.0,1.0
tfim,wht_mag,4,4,5,0.7574449472276837,1.7534246575342465
tfim,wht_mag_phase,4,4,5,0.7574449472276843,7.529411764705882
tfim,full,4,4,5,0.8095613168054863,6.69281045751634
tfim,wht,2,2,6,0.9999999999999998,1.0
tfim,wht_mag,2,2,6,0.7456333962140217,1.8754578754578755
tfim,wht_mag_phase,2,2,6,0.7456333962140218,15.515151515151516
tfim,full,2,2,6,0.7709522619617647,12.337349397590362
tfim,wht,3,3,6,0.9999999999999998,1.0
tfim,wht_mag,3,3,6,0.7569578275994141,1.8156028368794326
tfim,wht_mag_phase,3,3,6,0.7569578275994133,10.24
tfim,full,3,3,6,0.8025648542894283,8.752136752136753
tfim,wht,4,4,6,0.9999999999999998,1.0
tfim,wht_mag,4,4,6,0.757444947227684,1.7534246575342465
tfim,wht_mag_phase,4,4,6,0.757444947227684,7.529411764705882
tfim,full,4,4,6,0.8064262694511772,6.69281045751634
tfim,wht,2,2,7,1.0000000000000004,1.0
tfim,wht_mag,2,2,7,0.7456333962140222,1.8754578754578755
tfim,wht_mag_phase,2,2,7,0.7456333962140218,15.515151515151516
tfim,full,2,2,7,0.8074543403213226,12.337349397590362
tfim,wht,3,3,7,1.0000000000000004,1.0
tfim,wht_mag,3,3,7,0.7569578275994132,1.8156028368794326
tfim,wht_mag_phase,3,3,7,0.7569578275994133,10.24
tfim,full,3,3,7,0.7978950861292912,8.752136752136753
tfim,wht,4,4,7,1.0000000000000004,1.0
tfim,wht_mag,4,4,7,0.7574529108600176,1.7534246575342465
tfim,wht_mag_phase,4,4,7,0.7574529108600176,7.529411764705882
tfim,full,4,4,7,0.81213536606789,6.69281045751634
tfim,wht,2,2,8,1.0000000000000009,1.0
tfim,wht_mag,2,2,8,0.745633396214022,1.8754578754578755
tfim,wht_mag_phase,2,2,8,0.7456333962140218,15.515151515151516
tfim,full,2,2,8,0.7889452158628305,12.337349397590362
tfim,wht,3,3,8,1.0000000000000009,1.0
tfim,wht_mag,3,3,8,0.7569578275994138,1.8156028368794326
tfim,wht_mag_phase,3,3,8,0.756957827599413,10.24
tfim,full,3,3,8,0.8056098347100563,8.752136752136753
tfim,wht,4,4,8,1.0000000000000009,1.0
tfim,wht_mag,4,4,8,0.757444947227684,1.7534246575342465
tfim,wht_mag_phase,4,4,8,0.757444947227684,7.529411764705882
tfim,full,4,4,8,0.8076594999484367,6.69281045751634
tfim,wht,2,2,9,1.0000000000000004,1.0
tfim,wht_mag,2,2,9,0.7456333962140218,1.8754578754578755
tfim,wht_mag_phase,2,2,9,0.7456333962140222,15.515151515151516
tfim,full,2,2,9,0.800607591824004,12.337349397590362
tfim,wht,3,3,9,1.0000000000000004,1.0
tfim,wht_mag,3,3,9,0.7569578275994135,1.8156028368794326
tfim,wht_mag_phase,3,3,9,0.7569578275994133,10.24
tfim,full,3,3,9,0.7934275835954095,8.752136752136753
tfim,wht,4,4,9,1.0000000000000004,1.0
tfim,wht_mag,4,4,9,0.7574529108600184,1.7534246575342465
tfim,wht_mag_phase,4,4,9,0.7574529108600174,7.529411764705882
tfim,full,4,4,9,0.8075358624827558,6.69281045751634
tfim,wht,2,2,10,1.0000000000000004,1.0
tfim,wht_mag,2,2,10,0.7456333962140224,1.8754578754578755
tfim,wht_mag_phase,2,2,10,0.745633396214022,15.515151515151516
tfim,full,2,2,10,0.7790225732954403,12.337349397590362
tfim,wht,3,3,10,1.0000000000000004,1.0
tfim,wht_mag,3,3,10,0.7569578275994132,1.8156028368794326
tfim,wht_mag_phase,3,3,10,0.756957827599413,10.24
tfim,full,3,3,10,0.8131127741638712,8.752136752136753
tfim,wht,4,4,10,1.0000000000000004,1.0
tfim,wht_mag,4,4,10,0.7574529108600176,1.7534246575342465
tfim,wht_mag_phase,4,4,10,0.7574529108600169,7.529411764705882
tfim,full,4,4,10,0.8124317435184811,6.69281045751634
tfim,wht,2,2,11,1.0000000000000009,1.0
tfim,wht_mag,2,2,11,0.745633396214022,1.8754578754578755
tfim,wht_mag_phase,2,2,11,0.7456333962140217,15.515151515151516
tfim,full,2,2,11,0.8064173047404112,12.337349397590362
tfim,wht,3,3,11,1.0000000000000009,1.0
tfim,wht_mag,3,3,11,0.7569578275994133,1.8156028368794326
tfim,wht_mag_phase,3,3,11,0.7569578275994135,10.24
tfim,full,3,3,11,0.7943841270083193,8.752136752136753
tfim,wht,4,4,11,1.0000000000000009,1.0
tfim,wht_mag,4,4,11,0.7574529108600176,1.7534246575342465
tfim,wht_mag_phase,4,4,11,0.7574529108600176,7.529411764705882
tfim,full,4,4,11,0.8105748159854481,6.69281045751634
tfim,wht,2,2,12,1.0000000000000009,1.0
tfim,wht_mag,2,2,12,0.7456333962140222,1.8754578754578755
tfim,wht_mag_phase,2,2,12,0.7456333962140228,15.515151515151516
tfim,full,2,2,12,0.7577033582991525,12.337349397590362
tfim,wht,3,3,12,1.0000000000000009,1.0
tfim,wht_mag,3,3,12,0.7569578275994135,1.8156028368794326
tfim,wht_mag_phase,3,3,12,0.7569578275994133,10.24
tfim,full,3,3,12,0.7924555627885956,8.752136752136753
tfim,wht,4,4,12,1.0000000000000009,1.0
tfim,wht_mag,4,4,12,0.7574449472276841,1.7534246575342465
tfim,wht_mag_phase,4,4,12,0.757444947227684,7.529411764705882
tfim,full,4,4,12,0.8071341257147365,6.69281045751634
tfim,wht,2,2,13,0.9999999999999996,1.0
tfim,wht_mag,2,2,13,0.7456333962140222,1.8754578754578755
tfim,wht_mag_phase,2,2,13,0.7456333962140218,15.515151515151516
tfim,full,2,2,13,0.8103455312413228,12.337349397590362
tfim,wht,3,3,13,0.9999999999999996,1.0
tfim,wht_mag,3,3,13,0.7569578275994132,1.8156028368794326
tfim,wht_mag_phase,3,3,13,0.7569578275994135,10.24
tfim,full,3,3,13,0.802705301029004,8.752136752136753
tfim,wht,4,4,13,0.9999999999999996,1.0
tfim,wht_mag,4,4,13,0.7574449472276843,1.7534246575342465
tfim,wht_mag_phase,4,4,13,0.7574449472276841,7.529411764705882
tfim,full,4,4,13,0.8150989972596498,6.69281045751634
tfim,wht,2,2,14,1.0,1.0
tfim,wht_mag,2,2,14,0.7456333962140218,1.8754578754578755
tfim,wht_mag_phase,2,2,14,0.7456333962140217,15.515151515151516
tfim,full,2,2,14,0.7920253277248468,12.337349397590362
tfim,wht,3,3,14,1.0,1.0
tfim,wht_mag,3,3,14,0.756957827599413,1.8156028368794326
tfim,wht_mag_phase,3,3,14,0.7569578275994133,10.24
tfim,full,3,3,14,0.8088946344414408,8.752136752136753
tfim,wht,4,4,14,1.0,1.0
tfim,wht_mag,4,4,14,0.7574529108600176,1.7534246575342465
tfim,wht_mag_phase,4,4,14,0.7574529108600182,7.529411764705882
tfim,full,4,4,14,0.812440300029755,6.69281045751634
tfim,wht,2,2,15,1.0,1.0
tfim,wht_mag,2,2,15,0.7456333962140218,1.8754578754578755
tfim,wht_mag_phase,2,2,15,0.7456333962140218,15.515151515151516
tfim,full,2,2,15,0.7816696667137126,12.337349397590362
tfim,wht,3,3,15,1.0,1.0
tfim,wht_mag,3,3,15,0.7569578275994133,1.8156028368794326
tfim,wht_mag_phase,3,3,15,0.7569578275994132,10.24
tfim,full,3,3,15,0.8098505498851726,8.752136752136753
tfim,wht,4,4,15,1.0,1.0
tfim,wht_mag,4,4,15,0.7574449472276837,1.7534246575342465
tfim,wht_mag_phase,4,4,15,0.757444947227684,7.529411764705882
tfim,full,4,4,15,0.8060511003693982,6.69281045751634
tfim,wht,2,2,16,1.0000000000000009,1.0
tfim,wht_mag,2,2,16,0.7456333962140217,1.8754578754578755
tfim,wht_mag_phase,2,2,16,0.7456333962140218,15.515151515151516
tfim,full,2,2,16,0.7818993051024098,12.337349397590362
tfim,wht,3,3,16,1.0000000000000009,1.0
tfim,wht_mag,3,3,16,0.7569578275994135,1.8156028368794326
tfim,wht_mag_phase,3,3,16,0.7569578275994133,10.24
tfim,full,3,3,16,0.8107412752356392,8.752136752136753
tfim,wht,4,4,16,1.0000000000000009,1.0
tfim,wht_mag,4,4,16,0.7574449472276841,1.7534246575342465
tfim,wht_mag_phase,4,4,16,0.7574449472276837,7.529411764705882
tfim,full,4,4,16,0.8073298444124651,6.69281045751634
tfim,wht,2,2,17,1.0,1.0
tfim,wht_mag,2,2,17,0.7456333962140215,1.8754578754578755
tfim,wht_mag_phase,2,2,17,0.7456333962140222,15.515151515151516
tfim,full,2,2,17,0.7980877463157364,12.337349397590362
tfim,wht,3,3,17,1.0,1.0
tfim,wht_mag,3,3,17,0.7569578275994138,1.8156028368794326
tfim,wht_mag_phase,3,3,17,0.7569578275994132,10.24
tfim,full,3,3,17,0.8044241099795983,8.752136752136753
tfim,wht,4,4,17,1.0,1.0
tfim,wht_mag,4,4,17,0.7574529108600176,1.7534246575342465
tfim,wht_mag_phase,4,4,17,0.7574529108600178,7.529411764705882
tfim,full,4,4,17,0.8126521761914307,6.69281045751634
tfim,wht,2,2,18,1.0,1.0
tfim,wht_mag,2,2,18,0.7456333962140218,1.8754578754578755
tfim,wht_mag_phase,2,2,18,0.745633396214022,15.515151515151516
tfim,full,2,2,18,0.7991598303427053,12.337349397590362
tfim,wht,3,3,18,1.0,1.0
tfim,wht_mag,3,3,18,0.7569578275994132,1.8156028368794326
