state_class,basis,threshold,sample_idx,k_star
heisenberg,dct,0.5,15,19
heisenberg,dct,0.9,15,95
heisenberg,dct,0.99,15,199
heisenberg,identity,0.5,15,12
heisenberg,identity,0.9,15,56
heisenberg,identity,0.99,15,123
heisenberg,wht,0.5,16,12
heisenberg,wht,0.9,16,56
heisenberg,wht,0.99,16,123
heisenberg,dct,0.5,16,19
heisenberg,dct,0.9,16,95
heisenberg,dct,0.99,16,199
heisenberg,identity,0.5,16,12
heisenberg,identity,0.9,16,56
heisenberg,identity,0.99,16,123
heisenberg,wht,0.5,17,12
heisenberg,wht,0.9,17,56
heisenberg,wht,0.99,17,123
heisenberg,dct,0.5,17,19
heisenberg,dct,0.9,17,95
heisenberg,dct,0.99,17,199
heisenberg,identity,0.5,17,12
heisenberg,identity,0.9,17,56
heisenberg,identity,0.99,17,123
heisenberg,wht,0.5,18,12
heisenberg,wht,0.9,18,56
heisenberg,wht,0.99,18,123
heisenberg,dct,0.5,18,19
heisenberg,dct,0.9,18,95
heisenberg,dct,0.99,18,199
heisenberg,identity,0.5,18,12
heisenberg,identity,0.9,18,56
heisenberg,identity,0.99,18,123
heisenberg,wht,0.5,19,12
heisenberg,wht,0.9,19,56
heisenberg,wht,0.99,19,123
heisenberg,dct,0.5,19,19
heisenberg,dct,0.9,19,95
heisenberg,dct,0.99,19,199
heisenberg,identity,0.5,19,12
heisenberg,identity,0.9,19,56
heisenberg,identity,0.99,19,123
mps_chi2,wht,0.5,0,102
mps_chi2,wht,0.9,0,474
mps_chi2,wht,0.99,0,820
mps_chi2,dct,0.5,0,101
mps_chi2,dct,0.9,0,485
mps_chi2,dct,0.99,0,834
mps_chi2,identity,0.5,0,29
mps_chi2,identity,0.9,0,184
mps_chi2,identity,0.99,0,515
mps_chi2,wht,0.5,1,24
mps_chi2,wht,0.9,1,174
mps_chi2,wht,0.99,1,487
mps_chi2,dct,0.5,1,68
mps_chi2,dct,0.9,1,311
mps_chi2,dct,0.99,1,683
mps_chi2,identity,0.5,1,42
mps_chi2,identity,0.9,1,275
mps_chi2,identity,0.99,1,663
mps_chi2,wht,0.5,2,77
mps_chi2,wht,0.9,2,320
mps_chi2,wht,0.99,2,645
mps_chi2,dct,0.5,2,96
mps_chi2,dct,0.9,2,444
mps_chi2,dct,0.99,2,791
mps_chi2,identity,0.5,2,35
mps_chi2,identity,0.9,2,211
mps_chi2,identity,0.99,2,523
mps_chi2,wht,0.5,3,58
mps_chi2,wht,0.9,3,320
mps_chi2,wht,0.99,3,674
mps_chi2,dct,0.5,3,89
mps_chi2,dct,0.9,3,400
mps_chi2,dct,0.99,3,758
mps_chi2,identity,0.5,3,28
mps_chi2,identity,0.9,3,194
mps_chi2,identity,0.99,3,561
mps_chi2,wht,0.5,4,72
mps_chi2,wht,0.9,4,311
mps_chi2,wht,0.99,4,696
mps_chi2,dct,0.5,4,58
mps_chi2,dct,0.9,4,354
mps_chi2,dct,0.99,4,742
mps_chi2,identity,0.5,4,34
mps_chi2,identity,0.9,4,255
mps_chi2,identity,0.99,4,650
mps_chi2,wht,0.5,5,59
mps_chi2,wht,0.9,5,306
mps_chi2,wht,0.99,5,659
mps_chi2,dct,0.5,5,37
mps_chi2,dct,0.9,5,284
mps_chi2,dct,0.99,5,677
mps_chi2,identity,0.5,5,93
mps_chi2,identity,0.9,5,435
mps_chi2,identity,0.99,5,784
mps_chi2,wht,0.5,6,91
mps_chi2,wht,0.9,6,429
mps_chi2,wht,0.99,6,800
mps_chi2,dct,0.5,6,97
mps_chi2,dct,0.9,6,450
mps_chi2,dct,0.99,6,792
mps_chi2,identity,0.5,6,36
mps_chi2,identity,0.9,6,195
mps_chi2,identity,0.99,6,504
mps_chi2,wht,0.5,7,29
mps_chi2,wht,0.9,7,249
mps_chi2,wht,0.99,7,643
mps_chi2,dct,0.5,7,77
mps_chi2,dct,0.9,7,367
mps_chi2,dct,0.99,7,735
mps_chi2,identity,0.5,7,78
mps_chi2,identity,0.9,7,384
mps_chi2,identity,0.99,7,751
mps_chi2,wht,0.5,8,33
mps_chi2,wht,0.9,8,247
mps_chi2,wht,0.99,8,600
mps_chi2,dct,0.5,8,107
mps_chi2,dct,0.9,8,450
mps_chi2,dct,0.99,8,790
mps_chi2,identity,0.5,8,26
mps_chi2,identity,0.9,8,214
mps_chi2,identity,0.99,8,585
mps_chi2,wht,0.5,9,41
mps_chi2,wht,0.9,9,244
mps_chi2,wht,0.99,9,581
mps_chi2,dct,0.5,9,72
mps_chi2,dct,0.9,9,369
mps_chi2,dct,0.99,9,755
mps_chi2,identity,0.5,9,80
mps_chi2,identity,0.9,9,376
mps_chi2,identity,0.99,9,759
mps_chi2,wht,0.5,10,24
mps_chi2,wht,0.9,10,212
mps_chi2,wht,0.99,10,572
mps_chi2,dct,0.5,10,54
mps_chi2,dct,0.9,10,310
mps_chi2,dct,0.99,10,661
mps_chi2,identity,0.5,10,69
mps_chi2,identity,0.9,10,348
mps_chi2,identity,0.99,10,706
mps_chi2,wht,0.5,11,83
mps_chi2,wht,0.9,11,404
mps_chi2,wht,0.99,11,764
mps_chi2,dct,0.5,11,105
mps_chi2,dct,0.9,11,457
mps_chi2,dct,0.99,11,799
mps_chi2,identity,0.5,11,20
mps_chi2,identity,0.9,11,161
mps_chi2,identity,0.99,11,504
mps_chi2,wht,0.5,12,43
mps_chi2,wht,0.9,12,293
mps_chi2,wht,0.99,12,672
mps_chi2,dct,0.5,12,53
mps_chi2,dct,0.9,12,330
mps_chi2,dct,0.99,12,740
mps_chi2,identity,0.5,12,29
mps_chi2,identity,0.9,12,217
mps_chi2,identity,0.99,12,569
mps_chi2,wht,0.5,13,73
mps_chi2,wht,0.9,13,313
mps_chi2,wht,0.99,13,593
mps_chi2,dct,0.5,13,61
mps_chi2,dct,0.9,13,316
mps_chi2,dct,0.99,13,669
mps_chi2,identity,0.5,13,52
mps_chi2,identity,0.9,13,281
mps_chi2,identity,0.99,13,652
mps_chi2,wht,0.5,14,35
mps_chi2,wht,0.9,14,278
mps_chi2,wht,0.99,14,651
mps_chi2,dct,0.5,14,57
mps_chi2,dct,0.9,14,309
mps_chi2,dct,0.99,14,664
mps_chi2,identity,0.5,14,77
mps_chi2,identity,0.9,14,383
mps_chi2,identity,0.99,14,749
mps_chi2,wht,0.5,15,61
mps_chi2,wht,0.9,15,328
mps_chi2,wht,0.99,15,690
mps_chi2,dct,0.5,15,77
mps_chi2,dct,0.9,15,398
mps_chi2,dct,0.99,15,757
mps_chi2,identity,0.5,15,30
mps_chi2,identity,0.9,15,181
mps_chi2,identity,0.99,15,483
mps_chi2,wht,0.5,16,33
mps_chi2,wht,0.9,16,244
mps_chi2,wht,0.99,16,588
mps_chi2,dct,0.5,16,63
mps_chi2,dct,0.9,16,370
mps_chi2,dct,0.99,16,751
mps_chi2,identity,0.5,16,76
mps_chi2,identity,0.9,16,373
mps_chi2,identity,0.99,16,734
mps_chi2,wht,0.5,17,129
mps_chi2,wht,0.9,17,446
mps_chi2,wht,0.99,17,790
mps_chi2,dct,0.5,17,118
mps_chi2,dct,0.9,17,463
mps_chi2,dct,0.99,17,808
mps_chi2,identity,0.5,17,38
mps_chi2,identity,0.9,17,226
mps_chi2,identity,0.99,17,566
mps_chi2,wht,0.5,18,44
mps_chi2,wht,0.9,18,239
mps_chi2,wht,0.99,18,594
mps_chi2,dct,0.5,18,86
